campaign,worker_count,version,backend,trial,process_ms,pipeline_ms,hash_work_ms,setup_sum_ms,gpu_hashes,gpu_peak,cold_start_cpu_sum,verified,binarysha
unified-w4,4,baseline,no-pgo,0,861.7608000058681,815.612,3175.742,109.726,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,no-pgo,0,1030.31719988212,970.367,3330.424,442.933,16,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,new,cpu,0,861.5031999070197,837.278,3230.107,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,cpu,0,835.8140999916941,811.407,3112.905,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,baseline,auto,0,892.5462998449802,837.174,3213.779,133.219,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,auto,0,994.3921000231057,931.07,3232.058,372.954,8,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,auto,1,883.0639999359846,834.672,3263.752,115.061,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,baseline,cpu,1,802.3190000094473,778.676,2994.963,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,cpu,1,800.0842998735607,774.537,2997.098,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,new,auto,1,1096.6608999297023,1037.846,3419.747,618.104,6,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,new,no-pgo,1,976.2883998919278,917.26,3227.498,334.476,16,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,no-pgo,1,868.0005001369864,819.324,3212.664,98.783,3,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,baseline,auto,2,870.1544001232833,820.552,3281.958,92.34,5,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,auto,2,975.873599993065,920.223,3230.242,337.473,12,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,new,no-pgo,2,988.2829999551177,932.019,3189.856,390.591,16,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,cpu,2,845.0390000361949,821.668,3146.521,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,cpu,2,852.8541000559926,826.211,3193.025,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,no-pgo,2,869.506100192666,818.429,3151.097,137.988,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,baseline,cpu,3,855.1074001006782,831.52,3206.89,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,no-pgo,3,1049.1897999309003,992.717,3436.273,430.793,16,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,new,cpu,3,880.527300061658,853.216,3306.761,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,new,auto,3,1031.4719998277724,974.357,3242.192,559.285,12,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,auto,3,909.7778000868857,861.936,3332.158,104.22,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
