stage,workload,workers,block_mib,trial,warmup,arm,phase,process_ms,verified,hashed,cached,read_bytes,cpu_hashes,gpu_hashes,gpu_setup_ms,calibration_ms,pgo_enabled,pgo_samples,pgo_exploration_jobs,gpu_overflow_jobs,cpu_spill_jobs
prototype,small,4,1,4,False,new-no-pgo,cache,552.5595999788493,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,4,False,new-cpu,fresh,1530.9172000270337,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,4,False,new-cpu,cache,543.2380000129342,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,4,False,baseline-auto,fresh,1611.6497998591512,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
prototype,small,4,1,4,False,baseline-auto,cache,587.5548000913113,True,0,20000,0,0,0,0.0,0.0,,,,0,0
prototype,small,4,1,4,False,new-auto,fresh,1580.5665999650955,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,4,False,new-auto,cache,539.1844999976456,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,5,False,baseline-auto,fresh,1737.4110999517143,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
prototype,small,4,1,5,False,baseline-auto,cache,552.0941000431776,True,0,20000,0,0,0,0.0,0.0,,,,0,0
prototype,small,4,1,5,False,new-no-pgo,fresh,1534.5604000613093,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,5,False,new-no-pgo,cache,538.227700162679,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,5,False,new-auto,fresh,1651.3398000970483,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,5,False,new-auto,cache,514.2662001308054,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,5,False,new-cpu,fresh,1564.0522998292,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,5,False,new-cpu,cache,593.842500122264,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,6,False,new-no-pgo,fresh,1576.985500054434,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,6,False,new-no-pgo,cache,560.0308000575751,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
