trial,order,case,jobs,ns_per_job,checksum
0,0,loop_control,204000000,0.49227941176470591,101600976.00139236
0,1,static_eligibility,196000000,0.51396326530612246,65317196.001392365
0,2,predict,24000000,4.5038333333333336,1755994008.8482265
0,3,observe,8000000,14.128550000000001,16000000.014712553
0,4,small_eligibility_branch_only_off,194000000,0.5197582474226804,194000000.00139236
0,5,small_eligibility_branch_only_on,178000000,0.56434606741573035,178000000.00139236
1,0,small_eligibility_branch_only_on,180000000,0.55739444444444441,180000000.00139236
1,1,small_eligibility_branch_only_off,194000000,0.5169237113402062,194000000.00139236
1,2,observe,8000000,15.09225,16000000.014712553
1,3,predict,22000000,4.5862727272727275,1609661174.777657
1,4,static_eligibility,190000000,0.52876999999999996,63317690.001392365
1,5,loop_control,206000000,0.48921213592233009,102597064.00139236
2,0,loop_control,204000000,0.49139950980392155,101600976.00139236
2,1,static_eligibility,198000000,0.50778484848484851,65983698.001392365
2,2,predict,24000000,4.4490375000000002,1755994008.8482265
2,3,observe,8000000,14.758475000000001,16000000.014712553
2,4,small_eligibility_branch_only_off,200000000,0.50276399999999999,200000000.00139236
2,5,small_eligibility_branch_only_on,188000000,0.53670106382978722,188000000.00139236
3,0,small_eligibility_branch_only_on,178000000,0.56222471910112359,178000000.00139236
3,1,small_eligibility_branch_only_off,202000000,0.49918415841584157,202000000.00139236
3,2,observe,8000000,14.388299999999999,16000000.014712553
3,3,predict,24000000,4.5133833333333335,1755994008.8482265
3,4,static_eligibility,200000000,0.50268749999999995,66650200.001392365
3,5,loop_control,204000000,0.49045637254901958,101600976.00139236
4,0,loop_control,204000000,0.4911901960784314,101600976.00139236
4,1,static_eligibility,196000000,0.51200663265306123,65317196.001392365
4,2,predict,24000000,4.5320125000000004,1755994008.8482265
4,3,observe,8000000,14.3989875,16000000.014712553
4,4,small_eligibility_branch_only_off,196000000,0.51507499999999995,196000000.00139236
4,5,small_eligibility_branch_only_on,184000000,0.54753586956521738,184000000.00139236
5,0,small_eligibility_branch_only_on,180000000,0.55737944444444443,180000000.00139236
5,1,small_eligibility_branch_only_off,200000000,0.50249750000000004,200000000.00139236
5,2,observe,8000000,14.007787499999999,16000000.014712553
5,3,predict,24000000,4.4792500000000004,1755994008.8482265
5,4,static_eligibility,194000000,0.51712371134020618,64650694.001392365
5,5,loop_control,202000000,0.49506435643564356,100604888.00139236
6,0,loop_control,202000000,0.49859356435643565,100604888.00139236
6,1,static_eligibility,196000000,0.51096734693877555,65317196.001392365
6,2,predict,22000000,4.5580636363636362,1609661174.777657
6,3,observe,8000000,14.6995,16000000.014712553
6,4,small_eligibility_branch_only_off,196000000,0.51236071428571428,196000000.00139236
6,5,small_eligibility_branch_only_on,182000000,0.5506681318681319,182000000.00139236
7,0,small_eligibility_branch_only_on,184000000,0.54824728260869571,184000000.00139236
7,1,small_eligibility_branch_only_off,194000000,0.52001185567010311,194000000.00139236
7,2,observe,8000000,14.7351375,16000000.014712553
7,3,predict,22000000,4.5553272727272729,1609661174.777657
7,4,static_eligibility,192000000,0.52404114583333339,63984192.001392365
7,5,loop_control,182000000,0.54967637362637367,90644008.001392365
8,0,loop_control,208000000,0.48125000000000001,103593152.00139236
8,1,static_eligibility,196000000,0.51135051020408162,65317196.001392365
8,2,predict,22000000,4.604668181818182,1609661174.777657
8,3,observe,8000000,14.336175000000001,16000000.014712553
8,4,small_eligibility_branch_only_off,200000000,0.50099899999999997,200000000.00139236
8,5,small_eligibility_branch_only_on,178000000,0.56216179775280894,178000000.00139236
9,0,small_eligibility_branch_only_on,182000000,0.55096043956043961,182000000.00139236
9,1,small_eligibility_branch_only_off,194000000,0.52004896907216491,194000000.00139236
9,2,observe,8000000,15.386649999999999,16000000.014712553
9,3,predict,22000000,4.7774363636363635,1609661174.777657
9,4,static_eligibility,188000000,0.53608191489361701,62651188.001392365
9,5,loop_control,198000000,0.50812575757575762,98612712.001392365
